Destination_Port,Flow_Duration,Total_Fwd_Packets,Total_Backward_Packets,Total_Length_of_Fwd_Packets,Total_Length_of_Bwd_Packets,Fwd_Packet_Length_Max,Fwd_Packet_Length_Min,Fwd_Packet_Length_Mean,Fwd_Packet_Length_Std,Bwd_Packet_Length_Max,Bwd_Packet_Length_Min,Bwd_Packet_Length_Mean,Bwd_Packet_Length_Std,Flow_Bytes/s,Flow_Packets/s,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Total,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Total,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_Header_Length,Bwd_Header_Length,Fwd_Packets/s,Bwd_Packets/s,Min_Packet_Length,Max_Packet_Length,Packet_Length_Mean,Packet_Length_Std,Packet_Length_Variance,FIN_Flag_Count,SYN_Flag_Count,RST_Flag_Count,PSH_Flag_Count,ACK_Flag_Count,URG_Flag_Count,CWE_Flag_Count,ECE_Flag_Count,Down/Up_Ratio,Average_Packet_Size,Avg_Fwd_Segment_Size,Avg_Bwd_Segment_Size,Fwd_Avg_Bytes/Bulk,Fwd_Avg_Packets/Bulk,Fwd_Avg_Bulk_Rate,Bwd_Avg_Bytes/Bulk,Bwd_Avg_Packets/Bulk,Bwd_Avg_Bulk_Rate,Subflow_Fwd_Packets,Subflow_Fwd_Bytes,Subflow_Bwd_Packets,Subflow_Bwd_Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,Label
80,6307556,4,0,24,0,6,6,6,0,0,0,0,0,3.804960273,0.634160046,2102518.667,3641056.009,6306848,305,6307556,2102518.667,3641056.009,6306848,305,0,0,0,0,0,0,0,0,0,80,0,0.634160046,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.5,6,0,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,708,0,708,708,6306848,0,6306848,6306848,DDoS
80,1189723,3,7,26,11601,20,0,8.666666667,10.26320288,2920,0,1657.285714,1299.172136,9772.863095,8.405317877,132191.4444,389836.3793,1171652,11,17372,8686,11480.5857,16804,568,1189697,198282.8333,476901.4724,1171652,11,0,0,0,0,72,152,2.521595363,5.883722514,0,2920,1057,1306.290856,1706395.8,0,0,0,1,0,0,0,0,2,1162.7,8.666666667,1657.285714,0,0,0,0,0,0,3,26,7,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,10292813,5,0,30,0,6,6,6,0,0,0,0,0,2.914655109,0.485775852,2573203.25,5145072.522,10300000,1,10300000,2573203.25,5145072.522,10300000,1,0,0,0,0,0,0,0,0,0,100,0,0.485775852,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,2001,0,2001,2001,10300000,0,10300000,10300000,DDoS
80,88304862,8,4,56,11607,20,0,7,5.656854249,11595,0,2901.75,5795.50069,132.0765328,0.135892857,8027714.727,23400000,78000000,5,88100000,12600000,29100000,78000000,491,161767,53922.33333,92082.95761,160247,5,0,0,0,0,172,92,0.090595238,0.045297619,0,11595,897.6153846,3214.167532,10300000,0,0,0,0,1,0,0,0,0,972.4166667,7,2901.75,0,0,0,0,0,0,8,56,4,11607,256,229,6,20,2286,0,2286,2286,44100000,47900000,78000000,10200000,DDoS
80,1797860,3,5,26,11607,20,0,8.666666667,10.26320288,10220,0,2321.4,4455.182578,6470.470448,4.449734685,256837.1429,679089.8086,1796868,2,742,371,366.2813127,630,112,1797841,449460.25,898271.8951,1796868,2,0,0,0,0,72,112,1.668650507,2.781084178,0,10220,1292.555556,3378.299021,11400000,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,72875979,8,6,56,11601,20,0,7,5.656854249,7300,0,1933.5,2720.783986,159.9566848,0.192107196,5605844.538,18600000,67200000,1,72800000,10400000,25100000,67200000,1,73981,14796.2,20291.88059,41227,102,0,0,0,0,172,132,0.109775541,0.082331656,0,7300,777.5333333,1896.917457,3598295.838,0,0,0,0,1,0,0,0,0,833.0714286,7,1933.5,0,0,0,0,0,0,8,56,6,11601,256,229,6,20,5,0,5,5,36400000,43500000,67200000,5624884,DDoS
80,6004859,5,0,30,0,6,6,6,0,0,0,0,0,4.99595411,0.832659018,1501214.75,3001754.871,6003847,0,6004859,1501214.75,3001754.871,6003847,0,0,0,0,0,0,0,0,0,0,100,0,0.832659018,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,1012,0,1012,1012,6003847,0,6003847,6003847,DDoS
80,6645947,4,0,24,0,6,6,6,0,0,0,0,0,3.611223502,0.601870584,2215315.667,3836192.347,6644969,4,6645947,2215315.667,3836192.347,6644969,4,0,0,0,0,0,0,0,0,0,80,0,0.601870584,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.5,6,0,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,978,0,978,978,6644969,0,6644969,6644969,DDoS
80,9169691,5,0,30,0,6,6,6,0,0,0,0,0,3.271647867,0.545274644,2292422.75,4582945.501,9166841,849,9169691,2292422.75,4582945.501,9166841,849,0,0,0,0,0,0,0,0,0,100,0,0.545274644,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,2850,0,2850,2850,9166841,0,9166841,9166841,DDoS
80,31455,3,5,26,11601,20,0,8.666666667,10.26320288,4380,0,2320.2,2207.341206,369639.1671,254.3315848,4493.571429,8233.06917,21429,44,9607,4803.5,6592.356521,9465,142,31411,7852.75,10089.84144,21429,153,0,0,0,0,72,112,95.3743443,158.9572405,0,4380,1291.888889,1980.710254,3923213.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
